N,AMO.1206.80.121,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,4,120cm x 180cm        120,2.55,275,20,220,AMO_1206_80_V,AMO_1206_80_S,AMO_1206_80_L, 
N,EVO.0460.45.201,EVOLUTION                                                   ,Shag                                                             ,Evolution is one of our hugely popular modern shags. Using vibrant colours with different textures; in popular patterns; this rug will bring life to any room.                                                                                            ,Polyester; tufted                                                                                                                                                                                                                                         ,Non-shedding; every one is unique; very thick and dense; vibrant colours; antistatic and easy to clean.                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,CHINA      ,Polyester                                                        ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,HAND TUFTED         ,Regular vacuuming required. Professional cleaning recommended. Do not use power or rotary head vacuum cleaners. Do not pull at fibres. Any spills ahouls be blotted up immediately. Keep out of direct sunlight. Loose fibres maybe present.                   ,6,200cm x 290cm        200,5.25,899,20,719.2,EVO_0460_45_V,EVO_0460_45_S,EVO_0460_45_L, 
N,EVO.0460.45.243,EVOLUTION                                                   ,Shag                                                             ,Evolution is one of our hugely popular modern shags. Using vibrant colours with different textures; in popular patterns; this rug will bring life to any room.                                                                                            ,Polyester; tufted                                                                                                                                                                                                                                         ,Non-shedding; every one is unique; very thick and dense; vibrant colours; antistatic and easy to clean.                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,CHINA      ,Polyester                                                        ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,HAND TUFTED         ,Regular vacuuming required. Professional cleaning recommended. Do not use power or rotary head vacuum cleaners. Do not pull at fibres. Any spills ahouls be blotted up immediately. Keep out of direct sunlight. Loose fibres maybe present.                   ,1,240cm x 340cm        240,5.25,1299,20,1039.2,EVO_0460_45_V,EVO_0460_45_S,EVO_0460_45_L, 
N,EVO.0460.54.120,EVOLUTION                                                   ,Shag                                                             ,Evolution is one of our hugely popular modern shags. Using vibrant colours with different textures; in popular patterns; this rug will bring life to any room.                                                                                            ,Polyester; tufted                                                                                                                                                                                                                                         ,Non-shedding; every one is unique; very thick and dense; vibrant colours; antistatic and easy to clean.                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,CHINA      ,Polyester                                                        ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,HAND TUFTED         ,Regular vacuuming required. Professional cleaning recommended. Do not use power or rotary head vacuum cleaners. Do not pull at fibres. Any spills ahouls be blotted up immediately. Keep out of direct sunlight. Loose fibres maybe present.                   ,4,120cm x 170cm        120,5.25,329,20,263.2,EVO_0460_54_V,EVO_0460_54_S,EVO_0460_54_L, 
N,EVO.0460.54.160,EVOLUTION                                                   ,Shag                                                             ,Evolution is one of our hugely popular modern shags. Using vibrant colours with different textures; in popular patterns; this rug will bring life to any room.                                                                                            ,Polyester; tufted                                                                                                                                                                                                                                         ,Non-shedding; every one is unique; very thick and dense; vibrant colours; antistatic and easy to clean.                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,CHINA      ,Polyester                                                        ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,HAND TUFTED         ,Regular vacuuming required. Professional cleaning recommended. Do not use power or rotary head vacuum cleaners. Do not pull at fibres. Any spills ahouls be blotted up immediately. Keep out of direct sunlight. Loose fibres maybe present.                   ,6,160cm x 230cm        160,5.25,599,20,479.2,EVO_0460_54_V,EVO_0460_54_S,EVO_0460_54_L, 
N,LON.5831.28.160,LONDON                                                      ,Modern                                                           ,London features all of this years fashion colours in modern unique designs. This range will add fun and excitement to any tired room.                                                                                                                     ,100% heat set polypropylene; machine made                                                                                                                                                                                                                 ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,BELGIUM    ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,9,160cm x 230cm        160,2.42,449,20,359.2,LON_5831_28_V,LON_5831_28_S,LON_5831_28_L, 
N,LON.5831.28.201,LONDON                                                      ,Modern                                                           ,London features all of this years fashion colours in modern unique designs. This range will add fun and excitement to any tired room.                                                                                                                     ,100% heat set polypropylene; machine made                                                                                                                                                                                                                 ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,BELGIUM    ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,2,200cm x 290cm        200,2.42,699,20,559.2,LON_5831_28_V,LON_5831_28_S,LON_5831_28_L, 
N,LON.5831.55.120,LONDON                                                      ,Modern                                                           ,London features all of this years fashion colours in modern unique designs. This range will add fun and excitement to any tired room.                                                                                                                     ,100% heat set polypropylene; machine made                                                                                                                                                                                                                 ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,BELGIUM    ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,1,120cm x 170cm        120,2.42,249,20,199.2,LON_5831_55_V,LON_5831_55_S,LON_5831_55_L, 
N,LON.5831.55.201,LONDON                                                      ,Modern                                                           ,London features all of this years fashion colours in modern unique designs. This range will add fun and excitement to any tired room.                                                                                                                     ,100% heat set polypropylene; machine made                                                                                                                                                                                                                 ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,BELGIUM    ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,7,200cm x 290cm        200,2.42,699,20,559.2,LON_5831_55_V,LON_5831_55_S,LON_5831_55_L, 
N,LON.5831.65.120,LONDON                                                      ,Modern                                                           ,London features all of this years fashion colours in modern unique designs. This range will add fun and excitement to any tired room.                                                                                                                     ,100% heat set polypropylene; machine made                                                                                                                                                                                                                 ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,BELGIUM    ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,6,120cm x 170cm        120,2.42,249,20,199.2,LON_5831_65_V,LON_5831_65_S,LON_5831_65_L, 
N,LON.5831.65.201,LONDON                                                      ,Modern                                                           ,London features all of this years fashion colours in modern unique designs. This range will add fun and excitement to any tired room.                                                                                                                     ,100% heat set polypropylene; machine made                                                                                                                                                                                                                 ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,BELGIUM    ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,4,200cm x 290cm        200,2.42,699,20,559.2,LON_5831_65_V,LON_5831_65_S,LON_5831_65_L, 
N,LON.5831.65.241,LONDON                                                      ,Modern                                                           ,London features all of this years fashion colours in modern unique designs. This range will add fun and excitement to any tired room.                                                                                                                     ,100% heat set polypropylene; machine made                                                                                                                                                                                                                 ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,BELGIUM    ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,3,240cm x 330cm        240,2.42,969,20,775.2,LON_5831_65_V,LON_5831_65_S,LON_5831_65_L, 
N,LON.5833.80.120,LONDON                                                      ,Modern                                                           ,London features all of this years fashion colours in modern unique designs. This range will add fun and excitement to any tired room.                                                                                                                     ,100% heat set polypropylene; machine made                                                                                                                                                                                                                 ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,BELGIUM    ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,3,120cm x 170cm        120,2.42,249,20,199.2,LON_5833_80_V,LON_5833_80_S,LON_5833_80_L, 
N,LON.5833.80.160,LONDON                                                      ,Modern                                                           ,London features all of this years fashion colours in modern unique designs. This range will add fun and excitement to any tired room.                                                                                                                     ,100% heat set polypropylene; machine made                                                                                                                                                                                                                 ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,BELGIUM    ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,1,160cm x 230cm        160,2.42,449,20,359.2,LON_5833_80_V,LON_5833_80_S,LON_5833_80_L, 
N,LON.5833.80.201,LONDON                                                      ,Modern                                                           ,London features all of this years fashion colours in modern unique designs. This range will add fun and excitement to any tired room.                                                                                                                     ,100% heat set polypropylene; machine made                                                                                                                                                                                                                 ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,BELGIUM    ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,5,200cm x 290cm        200,2.42,699,20,559.2,LON_5833_80_V,LON_5833_80_S,LON_5833_80_L, 
N,LON.5833.80.241,LONDON                                                      ,Modern                                                           ,London features all of this years fashion colours in modern unique designs. This range will add fun and excitement to any tired room.                                                                                                                     ,100% heat set polypropylene; machine made                                                                                                                                                                                                                 ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,BELGIUM    ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,2,240cm x 330cm        240,2.42,969,20,775.2,LON_5833_80_V,LON_5833_80_S,LON_5833_80_L, 
N,VNT.1237.65.280,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,ISRAEL     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,Machine made        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,3,280cm x 380cm        280,2.61,1570,20,1256,VNT_1237_65_V,VNT_1237_65_S,VNT_1237_65_L, 
N,VNT.1237.65.980,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,35,80cm continuous      080,2.61,119,20,95.2,VNT_1237_65_V,VNT_1237_65_S,VNT_1237_65_L, 
N,VNT.1238.45.120,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,2,120cm x 170cm        120,2.61,299,20,239.2,VNT_1238_45_V,VNT_1238_45_S,VNT_1238_45_L, 
N,VNT.1238.45.201,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,2,200cm x 290cm        200,2.61,859,20,687.2,VNT_1238_45_V,VNT_1238_45_S,VNT_1238_45_L, 
N,VNT.1238.45.243,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,3,240cm x 340cm        240,2.61,1199,20,959.2,VNT_1238_45_V,VNT_1238_45_S,VNT_1238_45_L, 
N,VNT.1238.54.120,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,3,120cm x 170cm        120,2.61,299,20,239.2,VNT_1238_54_V,VNT_1238_54_S,VNT_1238_54_L, 
N,VNT.2347.44.160,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,4,160cm x 230cm        160,2.61,545,20,436,VNT_2347_44_V,VNT_2347_44_S,VNT_2347_44_L, 
N,VNT.2347.44.201,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,3,200cm x 290cm        200,2.61,859,20,687.2,VNT_2347_44_V,VNT_2347_44_S,VNT_2347_44_L, 
N,VNT.2347.44.243,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,2,240cm x 340cm        240,2.61,1199,20,959.2,VNT_2347_44_V,VNT_2347_44_S,VNT_2347_44_L, 
N,VNT.2347.44.280,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,ISRAEL     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,Machine made        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,1,280cm x 380cm        280,2.61,1570,20,1256,VNT_2347_44_V,VNT_2347_44_S,VNT_2347_44_L, 
N,VNT.2347.65.120,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,9,120cm x 170cm        120,2.61,299,20,239.2,VNT_2347_65_V,VNT_2347_65_S,VNT_2347_65_L, 
N,VNT.2347.65.160,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,8,160cm x 230cm        160,2.61,545,20,436,VNT_2347_65_V,VNT_2347_65_S,VNT_2347_65_L, 
N,VNT.2347.65.201,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,11,200cm x 290cm        200,2.61,859,20,687.2,VNT_2347_65_V,VNT_2347_65_S,VNT_2347_65_L, 
N,VNT.2347.65.243,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,4,240cm x 340cm        240,2.61,1199,20,959.2,VNT_2347_65_V,VNT_2347_65_S,VNT_2347_65_L, 
N,VNT.2347.65.280,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,ISRAEL     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,Machine made        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,1,280cm x 380cm        280,2.61,1570,20,1256,VNT_2347_65_V,VNT_2347_65_S,VNT_2347_65_L, 
N,VNT.2617.45.120,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,3,120cm x 170cm        120,2.61,299,20,239.2,VNT_2617_45_V,VNT_2617_45_S,VNT_2617_45_L, 
N,VNT.2617.45.160,VENTUS                                                      ,Modern                                                           ,Ventus is amazing value for money. Being hand carved and extremely dense in the latest fashion colours and modern designs; this range is a beautiful addition to any home.                                                                                ,100% heat set polypropylene; machine made; hand carved                                                                                                                                                                                                    ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant colours; colourfast; antistatic; easy to clean.                                                                                                                      ,                                                                                                                                                                                                                                                          ,TURKEY     ,100% Heat Set Polypropylene                                      ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,MACHINE MADE        ,Regular vacuuming required. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                                                                       ,2,160cm x 230cm        160,2.61,545,20,436,VNT_2617_45_V,VNT_2617_45_S,VNT_2617_45_L, 
